year,rating,review
2023,5,Always reliable and my first choice when it comes to searching for flights using it for years! Love the sleek and minimalistic interface. Keep it up!
2023,1,Cannot connect my earbuds. I tried everything on the manual and still cannot connect.
2023,1,when I booked the ticket through this app I was not delivered the air ticket by there partners so I would say it's worse app to use
2023,3,flights were confusing like only mention one stop / 2 stop but not telling where.. n not able to search hotel via using landmark
2023,3,Please add filter for airline loyalty programmes. I may want to see only one world flights for example.
2023,1,"Please and please, I'm urging Skyscanner to stop using Mytrip as an affiliate Travel Agency. They are fraudulent or rather scammers. They are always the first on the list to be displayed when it comes to booking because their charges are the cheapest but in reality, they are fraudsters! Please, stop displaying them as an affiliate travel agencies!"
2023,1,"WHY DON'T YOU JUST SHOW A LIVE PRICE FROM BEGINNING! The airfare prices at the beginning very rarely match the price once you get to the end. IF your method of how prices are published from start to finish are consistent all the way throughout the process you would have happy consumers. Eg. Explore (insert country name) price shows $309. Once you click to proceed price is then $338. Then click to providers, price is $362. To then use a reputable agent price is $400 plus extras."
2023,3,Needs a feature where you can filter on direct flights / number of stops at the beginning when you for example search for everywhere. Now you can only filter this when you have already a destination
2023,5,"easy and very convenience to use this application. Wherever our family fly , we use this apps."
2023,4,"Hey, nice app.. i like the option where you can choose ""everywhere"" as destination and check cheapest destinations from my country. I'd be happy if there is also an option from ""any departure"" to a certain destination. That would help me to see from which country/airport i can get cheap to my wish destination. As well it can be improved to chose several dates (not only whole month) but certain dates like from 7-15 July to a certain destination to check the prices"
2023,1,"Updated review, the app is about better now, but still loads of weaknesses in it. Looking for flights for October from Vienna to Malaga, the results shows 1 + stops, however luckily I know there are direct flights, then go in and you see the direct flights, pretty useless for anyone who wants direct flights as they may not know"
2023,4,"I suppose that it is the talre of the algorithm, but it is frustrating to have fees calculated in the currency of the country you are in when you search...but otherwise I'm very happy with Skyscanner"
2018,3,"The app would be perfect if it would be possible to have an option regarding luggages... I travel VERY often and most of time I have holded luggages with me... Now, as concurrence is big and every app is looking to show the cheapest prices, in 95% of cases, the showed price correspond to a price without credit card costs and with only a cabin luggage... Then the problem is that in many cases, it's simply impossible to add holded luggages as option. So, at the end, a waste of time and as result, a direct booking through the airline which makes, of course, Skyscanner ignore that a potential passenger used the site to find the best route, but booking it in a different way... Otherwise, finally the multiciity options is available! ...and it remains also the best app to find a flight..."
2021,1,"What's happened? I can't search anymore 😕 I select ""flights"" and the last search is automatically coming up, and I get an error message when trying to enter new details (""looks like we lost you for a second - sorry seems our server dropped you off. Please try again later""). Really disappointed, this was my number 1 flight app for browsing deals, but now I can't even search for one destination 😔"
2020,2,Used to be really good until someone decided to change the layout and make something as simple as searching for a flight a nightmare! It's absolutely shocking now! I've no idea why you changed such a winning formula! Judging by all the other reivews neither does anyone else! Baffling that you thought this layout would be easier to navigate when realistically 2020 has been easier.. l will use other flight sites going forward
2018,3,"The explore features are a great idea, but don't work that well: when selecting ""Everywhere"" as destination, you cannot select ""weekends only"". And when you then click on a location and do apply the ""weekend"" filter, you still get flights departing on Fridays at 8AM. Sorry guys, but I've got a job and can't just browse off at 8AM! Would like a ""real weekend"" filter that goes from Friday evenings to Sunday evening (I also don't want to leave at 9AM on a Sunday...)."
2019,1,"This is the worst app I've used. I spent hours trying to book flights. I tried on phone and PC. One agency constantly says ""something went wrong - try new dates"" and the other agency takes me all the way to payment but payment never works. I rang one agency and they were quick to tell me I could pay over the phone but the price had gone up $400. On a previous booking I paid for seats in advance which were never provided. There is something up with all this. I have given up on Skyscanner."
2021,2,"Each iteration of Skyscanner's recent improvements across the various systems and devices makes it worse each time. It is a pain to use and I am going elsewhere, after about ten years of dedication to Skyscanner. Sorry it has become so bad. Honest, go back to the 'app' of say 2019 - then it was nice, simple, efficient, extremely helpful/useful and above all else easy to use, especially the choices of flights over a calendar month. Now that has gone. OVERALL, not even in the completion."
2021,5,"I have been using Skyscanner for a couple of years now. They have a great customer care team ready to help you if you are experiencing problems. The application is very easy to go through. You can actually get carried away when searching for flights in the app because it's so responsive to searches, which is great. Also, it works smoothly on every phone I switch to. I certainly recommend it. This is the app that every travel-enthusiast should have.. Thank you creators. Let's travel!!"
2019,4,Very good app overall to get a sense of prices and find a good deal. Filters help a lot to screen out nonsensical flights. But it would be very beneficial if one could select checked baggage and factor that into the price. Often times the prices don't match and I rarely travel with hand luggage only. Also a possibility to have a timeline graph of the changing prices would be informative.
2020,1,"Was perfect before but now unusable. I was easily able to search an entire month and see the best/direct fares for each day..now I am forced to go from one page to another per origin and destination and pick specific dates by click on in a button before waiting to see if there are any direct flights that day... very tacky. They keep replying to bad reviews saying they are constantly working to improve the app, but it's simple. Revert to the old one. A classic case of don't fix what isn't broken"
2018,2,"UX is disappointing.. I think it's trying too hard. Better focus on functionality. No matter how many times I try to search by specific dates I keep getting only random suggested dates returned for the next two weeks, one month, the months etc.. Suggestion: know your public! Most people tend to choose specific dates and don't have the liberty to search for any cross-hemisphere travel on random dates, as far as I am aware. Try putting as much effort into UX as seemingly goes into UI and that should get you a bit closer to a functional, maybe even happy use experience!! Good luck!"
2020,1,"I do love this app but the new interface is not good. Hard to understand how to select the from and where to locations, or HOW TO SWITCH BETWEEN THEM (is it even possible still?) , hard to understand how to search for a one-way or round-trip, the dates selection is not intuitive at all... The entire month feature has been missed dearly for some times as well. I understand the will to try something new but here it's not intuitive, it frustrates and almost make no sense. Sorry but it's bad."
2021,1,"Why change something that worked so well. The New interface lacks the functionality of the past . Less options, for example Rent a car filters by préférences - less options. The air tickets booking is less convenient , the info presented lacks so many details that used to be on the old options. A classic example that it's so easy to destroy a well achieved accomplishment. If it works very well - don't touch , a golden rule. Bring back the old and steady app"
2021,1,"I do not like the new interface layout. All the separate bars to get into the selection of destination, date, departure, I'm missing the overview that the previous interface had. I'm also missing, the bar graph, the selection one-way vs. return, swapping arrival and departure destinations. Not connected to the new interface, but a function I'm missing since airlines started selling tickets without check-in baggage as standard, is an option to search for tickets including check-in bags."
2020,3,"Very disappointed with this update I'm afraid. I love sky scanner. I use it for half a dozen flights a year but will have to use desktop now.... Issue for me is the lack of filters on the initial search so the results come back with 200 or 300 options, most of them with multiple stopovers taking the 3 hour flight I'm looking for up to 35 hours of travel. Almost unusable in this format. Sorry guys."
2020,1,"Latest update is terrible. The possibility to choose flight or car disappear. You are forced to indicate your destination (based on the departure where you are, not always what I need), then the dates and to wait the search of the flight. Only after that, at the very bottom, you can choose to look for cars. Why?...I want to go directly to my needs on the home page!. Please, reload the previous version!. It was very very user friendly!!!"
2021,1,"Update: calendar view still doesn't work, and even worse - when you select whole month it shows the cheapest flight in that month, and flights in the next few weeks (from now). So I'm trying to book a flight in September and it only shows me one date. Where's the calendar view with prices? Also,'select month' doesn't always show. I want to see a calendar with prices for each day, irrespective of what I enter in departure and destination and dates selected. That. Was. The. Purpose. Of. This. App."
2021,1,"The app doesn't seem to work via WiFi, I had to switch to data which finally allowed me to select an airport. The prices quoted on the first screen are much cheaper than the real prices on the following screens. It offers you ridiculous multi stop flights first which make a 1 hour flight take over a day if this is a realistic option people want! The UI is hard to use now I've just given up with it. It's such a shame because this used to be a brilliant little app."
2022,1,"Installed the app after a few years of not being able to travel. I used to use it for all my flight search but I have to say I'm disappointed with the development choices made. The core reason for the app was how easy it was to use multiple inputs to help find the best flights, now I have to be way more specific (with dates and locations), which is simply not possible when trying to get to China (in my example). I need to be able to filter at the start on things (such as location of layover)"
2021,1,"What the heck did they do to this app in the last update??? It asks where I want to fly to Antalya from and will not change! I even tried resetting the app. Epic fail! I am resigned to using Google flights now. Edit: annoying that the from city box is under the white to city box. To search destination ""everywhere"" now you have to click on ""multi trip"" annoying too."
2019,1,"The new version of the app keeps wanting me to ""explore""; for example if I search flights for London (Any) to South Africa (Any) I get Capetown and Durban as trip options (No Johannesburg); you then get loads of information, reviews, hotels etc. All unnecessary when trying to book a flight home. I'm sure the old version of the app just gave a list of flights with a mix of airports - no fuss. Can't you keep it simple and have a separate section of the app for your ""explore function""?"
2022,4,"The app only displays prices in Chinese yuan and I can't find a way to change it. I'm in China it's probably detecting that, but I'm still an American and would be paying in dollars. Very annoying//edit: I added a star after finding the setting, but it's still bad design. Would have been easier to find if it was a gear icon like normal, and why is 'Your Details"" in it's own menu as it's all stuff typical of ""settings"". The UI is more cute than useful"
